generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
185,0.1,5.0,0.8432432432432433,33.69733684596619,0.0,True
190,0.1,5.0,0.8421052631578947,34.09738375517055,0.0,True
195,0.1,5.0,0.8461538461538461,34.7315713909125,0.0,True
200,0.1,5.0,0.85,35.35533905932738,0.0,True
205,0.1,5.0,0.848780487804878,35.73635013354342,0.0,True
210,0.1,5.0,0.8523809523809524,36.343452792030654,0.0,True
5,0.1,5.0,1.0,6.708203932499369,9.851675031313789e-12,True
10,0.1,5.0,1.0,9.486832980505138,0.0,True
15,0.1,5.0,1.0,11.61895003862225,0.0,True
20,0.1,5.0,1.0,13.416407864998739,0.0,True
25,0.1,5.0,1.0,15.0,0.0,True
30,0.1,5.0,0.9333333333333333,15.214515486254614,0.0,True
35,0.1,5.0,0.9428571428571428,16.621367009660826,0.0,True
40,0.1,5.0,0.95,17.919573407620817,0.0,True
45,0.1,5.0,0.9555555555555556,19.1308038074982,0.0,True
50,0.1,5.0,0.96,20.270394394014364,0.0,True
55,0.1,5.0,0.9636363636363636,21.349662311335997,0.0,True
60,0.1,5.0,0.9666666666666667,22.37723711142063,0.0,True
65,0.1,5.0,0.9692307692307692,23.359875014300922,0.0,True
70,0.1,5.0,0.9714285714285714,24.30298172313267,0.0,True
75,0.1,5.0,0.9733333333333334,25.210961754613656,0.0,True
80,0.1,5.0,0.975,26.087459737497547,0.0,True
85,0.1,5.0,0.9764705882352941,26.93553184581647,0.0,True
90,0.1,5.0,0.9777777777777777,27.757770572589106,0.0,True
95,0.1,5.0,0.9789473684210527,28.55639746637012,0.0,True
100,0.1,5.0,0.98,29.333333333333332,0.0,True
105,0.1,5.0,0.9809523809523809,30.09025224924644,0.0,True
110,0.1,5.0,0.9818181818181818,30.828623718940815,0.0,True
115,0.1,5.0,0.9826086956521739,31.549746012130615,0.0,True
120,0.1,5.0,0.9833333333333333,32.25477283085978,0.0,True
125,0.1,5.0,0.984,32.9447348684969,0.0,True
130,0.1,5.0,0.9846153846153847,33.62055740676945,0.0,True
135,0.1,5.0,0.9851851851851852,34.283074805317504,0.0,True
140,0.1,5.0,0.9857142857142858,34.933042528778685,0.0,True
145,0.1,5.0,0.9862068965517241,35.57114720401862,0.0,True
150,0.1,5.0,0.9866666666666667,36.19801508779585,0.0,True
155,0.1,5.0,0.9870967741935484,36.814219241364526,0.0,True
160,0.1,5.0,0.9875,37.420285645325826,0.0,True
165,0.1,5.0,0.9878787878787879,38.016698439887705,0.0,True
170,0.1,5.0,0.9882352941176471,38.60390443865098,0.0,True
175,0.1,5.0,0.9885714285714285,39.182317035289884,0.0,True
180,0.1,5.0,0.9888888888888889,39.75231959999626,0.0,True
