generated_tokens,gamma,delta,perplexity,green_fraction,z_score,p_value,prediction
200,0.25,5.0,4.1346286603769,0.945,22.698604949790784,0.0,True
200,0.25,5.0,7.978506192055327,0.98,23.8417001630896,0.0,True
200,0.25,5.0,25.771016137276064,0.905,21.392210420306423,0.0,True
200,0.25,5.0,4.541844593364445,0.99,24.16829879546069,0.0,True
200,0.25,5.0,18.07459548298425,0.935,22.372006317419693,0.0,True
200,0.25,5.0,8.777966294189335,0.91,21.555509736491967,0.0,True
200,0.25,5.0,4.085850046414758,0.82,18.616122045152153,0.0,True
200,0.25,5.0,5.119215131171205,0.875,20.412414523193153,0.0,True
200,0.25,5.0,31.419503543623954,0.935,22.372006317419693,0.0,True
200,0.25,5.0,28.152058473483724,0.95,22.861904265976328,0.0,True
200,0.25,5.0,41.66790244015553,0.94,22.53530563360524,0.0,True
200,0.25,5.0,15.114539294773742,0.9,21.228911104120876,0.0,True
200,0.25,5.0,5.104732539003638,0.865,20.08581589082206,0.0,True
200,0.5,5.0,1.6308447803723078,0.995,14.00071426749364,0.0,True
200,0.5,5.0,10.265063506547522,0.95,12.727922061357855,0.0,True
200,0.5,5.0,14.038721980278373,0.98,13.576450198781712,0.0,True
200,0.5,5.0,13.476726729232489,0.98,13.576450198781712,0.0,True
200,0.5,5.0,18.977362336037626,0.98,13.576450198781712,0.0,True
200,0.5,5.0,3.5287976172073066,0.985,13.717871555019022,0.0,True
200,0.5,5.0,8.312152995724684,0.945,12.586500705120546,0.0,True
200,0.5,5.0,2.8846652963159403,1.0,14.14213562373095,0.0,True
200,0.5,5.0,11.196478326351901,0.98,13.576450198781712,0.0,True
200,0.5,5.0,11.131620429138357,0.96,13.010764773832474,0.0,True
200,0.5,5.0,11.909727680651928,0.915,11.737972567696689,0.0,True
200,0.5,5.0,10.378600622017704,0.93,12.162236636408617,0.0,True
200,0.5,5.0,2.788750415539774,0.98,13.576450198781712,0.0,True
200,0.5,5.0,13.618787014736986,0.965,13.152186130069783,0.0,True
200,0.5,5.0,29.46826553000128,0.985,13.717871555019022,0.0,True
200,0.5,5.0,10.91025378848802,0.98,13.576450198781712,0.0,True
200,0.5,5.0,13.055248555823265,0.98,13.576450198781712,0.0,True
200,0.5,5.0,8.625910938320565,0.975,13.435028842544403,0.0,True
200,0.25,0.0,10.005984985866846,0.27,0.6531972647421809,0.25681455669656206,False
200,0.25,0.0,4.971049749902402,0.34,2.939387691339814,0.001644307151923985,False
200,0.25,0.0,5.937550531978783,0.285,1.1430952132988164,0.12649953073734221,False
200,0.25,0.0,7.22325210222115,0.285,1.1430952132988164,0.12649953073734221,False
200,0.25,0.0,9.134602574438315,0.275,0.816496580927726,0.20710808912126255,False
200,0.25,0.0,6.947712767262627,0.275,0.816496580927726,0.20710808912126255,False
200,0.25,0.0,6.445497050868581,0.29,1.3063945294843617,0.09570921261880372,False
200,0.25,0.0,5.917842074009765,0.245,-0.16329931618554522,0.564858613859482,False
200,0.25,0.0,8.071652718951455,0.285,1.1430952132988164,0.12649953073734221,False
200,0.25,0.0,7.165922130458727,0.24,-0.32659863237109044,0.6280142609624715,False
200,0.25,0.0,4.904420858521035,0.295,1.469693845669907,0.07082234514756847,False
200,0.25,0.0,7.57358004785267,0.255,0.16329931618554522,0.4351413861405179,False
200,0.25,0.0,2.269558890894923,0.295,1.469693845669907,0.07082234514756847,False
200,0.25,0.0,4.117724968278234,0.345,3.102687007525359,0.0009588617140494637,False
200,0.25,0.0,5.100729135406632,0.285,1.1430952132988164,0.12649953073734221,False
200,0.25,0.0,7.921802866555497,0.36,3.5925849560819945,0.00016370692933009856,False
