generated_tokens,gamma,delta,perplexity,green_fraction,z_score,p_value,prediction
200,0.5,2.0,8.624140972328744,0.825,9.192388155425117,0.0,True
200,0.5,2.0,8.500346928834853,0.85,9.899494936611665,0.0,True
200,0.5,2.0,9.934353737656703,0.825,9.192388155425117,0.0,True
200,0.5,2.0,4.492934014880924,0.765,7.495331880577403,3.3084646133829665e-14,True
200,0.5,2.0,7.10313196210889,0.83,9.333809511662427,0.0,True
200,0.5,2.0,6.667634301328508,0.79,8.202438661763951,1.1102230246251565e-16,True
200,0.5,2.0,7.139883008600869,0.75,7.071067811865475,7.687184222504584e-13,True
200,0.5,2.0,8.893333680673447,0.835,9.475230867899736,0.0,True
200,0.5,2.0,10.418488143202628,0.835,9.475230867899736,0.0,True
200,0.5,2.0,7.210908462900957,0.79,8.202438661763951,1.1102230246251565e-16,True
200,0.5,2.0,5.249045405052964,0.805,8.626702730475879,0.0,True
200,0.5,2.0,5.619063307452482,0.78,7.919595949289332,1.1102230246251565e-15,True
200,0.5,2.0,7.978751359220868,0.82,9.050966799187808,0.0,True
200,0.5,2.0,3.124479285642496,0.915,11.737972567696689,0.0,True
200,0.5,2.0,9.210813916460452,0.81,8.76812408671319,0.0,True
200,0.5,2.0,7.587867307475938,0.795,8.34386001800126,0.0,True
200,0.5,2.0,4.6006795972243015,0.795,8.34386001800126,0.0,True
200,0.5,2.0,10.02127417847829,0.81,8.76812408671319,0.0,True
200,0.5,2.0,7.700216111134711,0.845,9.758073580374356,0.0,True
200,0.25,5.0,6.688733921312466,0.835,19.106019993708788,0.0,True
200,0.25,5.0,3.538913703758955,0.9,21.228911104120876,0.0,True
200,0.25,5.0,16.87276685363347,0.96,23.18850289834742,0.0,True
200,0.25,5.0,19.652941873386986,0.915,21.718809052677514,0.0,True
200,0.25,5.0,4.511186758557865,0.955,23.025203582161875,0.0,True
200,0.25,5.0,1.9807403313061178,0.965,23.351802214532967,0.0,True
200,0.25,5.0,5.48269157577785,0.91,21.555509736491967,0.0,True
200,0.25,5.0,28.07261745345115,0.965,23.351802214532967,0.0,True
200,0.25,5.0,12.637816370515583,0.905,21.392210420306423,0.0,True
200,0.25,5.0,2.719907710105682,0.875,20.412414523193153,0.0,True
200,0.25,5.0,6.3030586950990255,0.985,24.004999479275146,0.0,True
200,0.25,5.0,1.482212833628946,0.99,24.16829879546069,0.0,True
200,0.25,5.0,4.121473946787955,0.97,23.51510153071851,0.0,True
200,0.25,5.0,35.11119368584602,0.94,22.53530563360524,0.0,True
200,0.25,5.0,4.21269415994443,0.9,21.228911104120876,0.0,True
200,0.25,5.0,1.50620198636854,1.0,24.49489742783178,0.0,True
200,0.25,5.0,3.862765567480214,0.83,18.942720677523244,0.0,True
200,0.25,5.0,17.678865058102826,0.9,21.228911104120876,0.0,True
200,0.25,5.0,10.938394637789186,0.86,19.922516574636514,0.0,True
200,0.25,5.0,8.371046077133814,0.925,22.045407685048602,0.0,True
200,0.25,5.0,9.281254149812588,0.92,21.882108368863058,0.0,True
200,0.25,5.0,18.30284754172574,0.89,20.902312471749788,0.0,True
200,0.25,5.0,12.72143188590934,0.95,22.861904265976328,0.0,True
200,0.25,5.0,16.206029696559817,0.9,21.228911104120876,0.0,True
200,0.25,5.0,10.281783996598584,0.87,20.249115207007605,0.0,True
200,0.25,5.0,2.5099627374123834,0.99,24.16829879546069,0.0,True
200,0.25,5.0,4.417895250152792,0.965,23.351802214532967,0.0,True
200,0.25,5.0,24.793879916354552,0.93,22.20870700123415,0.0,True
200,0.25,5.0,9.92753070553088,0.965,23.351802214532967,0.0,True
200,0.25,5.0,19.00952884323651,0.92,21.882108368863058,0.0,True
200,0.25,5.0,15.87373081480294,0.92,21.882108368863058,0.0,True
200,0.25,5.0,4.396951599734348,0.935,22.372006317419693,0.0,True
200,0.25,5.0,13.733042758384586,0.81,18.28952341278106,0.0,True
200,0.25,5.0,6.81826959155209,0.94,22.53530563360524,0.0,True
200,0.25,5.0,7.676316520281881,0.955,23.025203582161875,0.0,True
200,0.25,5.0,24.319784996292693,0.935,22.372006317419693,0.0,True
200,0.25,5.0,20.6428843604234,0.87,20.249115207007605,0.0,True
