generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
45,0.25,5.0,0.9333333333333332,10.586154479633606,0.0,True
50,0.25,5.0,0.94,11.26765281680262,0.0,True
55,0.25,5.0,0.9454545454545454,11.911033845671302,0.0,True
60,0.25,5.0,0.95,12.521980673998822,0.0,True
65,0.25,5.0,0.953846153846154,13.104902194921625,0.0,True
70,0.25,5.0,0.9571428571428572,13.663298074978616,0.0,True
75,0.25,5.0,0.96,14.2,0.0,True
80,0.25,5.0,0.9625,14.717336715588184,0.0,True
85,0.25,5.0,0.9647058823529412,15.217250273369132,0.0,True
90,0.25,5.0,0.9666666666666668,15.701379981814762,0.0,True
95,0.25,5.0,0.968421052631579,16.17112436282322,0.0,True
100,0.25,5.0,0.97,16.62768775266122,0.0,True
105,0.25,5.0,0.9714285714285714,17.072115945516035,0.0,True
110,0.25,5.0,0.9727272727272728,17.505323865509133,0.0,True
115,0.25,5.0,0.9739130434782608,17.92811733853691,0.0,True
120,0.25,5.0,0.975,18.3412104289766,0.0,True
125,0.25,5.0,0.976,18.7452393956439,0.0,True
130,0.25,5.0,0.9769230769230768,19.1407740378813,0.0,True
135,0.25,5.0,0.9777777777777776,19.528327003498163,0.0,True
140,0.25,5.0,0.9785714285714284,19.90836148815008,0.0,True
145,0.25,5.0,0.9793103448275862,20.28129765283175,0.0,True
150,0.25,5.0,0.98,20.647518010647183,0.0,True
155,0.25,5.0,0.9806451612903224,21.007371977935623,0.0,True
160,0.25,5.0,0.98125,21.36117974270148,0.0,True
165,0.25,5.0,0.9818181818181818,21.709235571316395,0.0,True
170,0.25,5.0,0.9823529411764704,22.05181064994837,0.0,True
175,0.25,5.0,0.9828571428571428,22.38915553821282,0.0,True
180,0.25,5.0,0.9833333333333332,22.72150229775018,0.0,True
185,0.25,5.0,0.9837837837837838,23.04906634680588,0.0,True
190,0.25,5.0,0.9842105263157894,23.372048082676606,0.0,True
195,0.25,5.0,0.9846153846153848,23.69063430653881,0.0,True
200,0.25,5.0,0.985,24.004999479275146,0.0,True
5,0.25,5.0,0.8,2.840187787218772,0.002254349182452,False
10,0.25,5.0,0.8,4.016632088371218,2.951789024796536e-05,True
15,0.25,5.0,0.8666666666666667,5.515634344499481,1.7376207472885596e-08,True
20,0.25,5.0,0.9,6.713171133426189,9.521938793000118e-12,True
25,0.25,5.0,0.92,7.736493607140985,5.10702591327572e-15,True
30,0.25,5.0,0.9333333333333332,8.64355893779357,0.0,True
35,0.25,5.0,0.8857142857142857,8.685510649241946,0.0,True
40,0.25,5.0,0.9,9.49385766342288,0.0,True
45,0.25,5.0,0.9111111111111112,10.24188929330406,0.0,True
50,0.25,5.0,0.92,10.941054184431527,0.0,True
55,0.25,5.0,0.9272727272727272,11.599634268006692,0.0,True
60,0.25,5.0,0.9166666666666666,11.925695879998878,0.0,True
65,0.25,5.0,0.8923076923076924,11.95911839645853,0.0,True
70,0.25,5.0,0.9,12.559193180030848,0.0,True
75,0.25,5.0,0.9066666666666666,13.133333333333333,0.0,True
80,0.25,5.0,0.9125,13.68454115659954,0.0,True
85,0.25,5.0,0.9176470588235294,14.215291407632892,0.0,True
90,0.25,5.0,0.9222222222222224,14.727650990694467,0.0,True
95,0.25,5.0,0.9263157894736842,15.223366158408671,0.0,True
100,0.25,5.0,0.93,15.70392732195782,0.0,True
105,0.25,5.0,0.9333333333333332,16.170618073805617,0.0,True
110,0.25,5.0,0.9363636363636364,16.624552853408044,0.0,True
115,0.25,5.0,0.9304347826086956,16.851353534420582,0.0,True
120,0.25,5.0,0.925,17.076299364909246,0.0,True
125,0.25,5.0,0.92,17.299325613059796,0.0,True
130,0.25,5.0,0.9230769230769232,17.72293892396417,0.0,True
135,0.25,5.0,0.925925925925926,18.13699581749829,0.0,True
140,0.25,5.0,0.9285714285714286,18.54210138602213,0.0,True
145,0.25,5.0,0.9310344827586208,18.938800408672677,0.0,True
150,0.25,5.0,0.9266666666666666,19.139023544115886,0.0,True
155,0.25,5.0,0.9290322580645162,19.523407511503084,0.0,True
160,0.25,5.0,0.93125,19.90058625602104,0.0,True
165,0.25,5.0,0.9333333333333332,20.27094253139481,0.0,True
170,0.25,5.0,0.9352941176470588,20.634826833084222,0.0,True
175,0.25,5.0,0.9371428571428572,20.99256104070247,0.0,True
180,0.25,5.0,0.9388888888888888,21.344441552431988,0.0,True
185,0.25,5.0,0.9405405405405406,21.69074199487625,0.0,True
190,0.25,5.0,0.9421052631578948,22.03171557614318,0.0,True
195,0.25,5.0,0.9435897435897436,22.36759713758726,0.0,True
200,0.25,5.0,0.945,22.698604949790784,0.0,True
5,0.25,5.0,0.8,2.840187787218772,0.002254349182452,False
10,0.25,5.0,0.8,4.016632088371218,2.951789024796536e-05,True
5,0.25,5.0,0.8,2.840187787218772,0.002254349182452,False
10,0.25,5.0,0.9,4.74692883171144,1.0326428980800273e-06,True
15,0.25,5.0,0.9333333333333332,6.111919138499425,4.922002805329838e-10,True
20,0.25,5.0,0.95,7.229568912920511,2.422506639732092e-13,True
25,0.25,5.0,0.96,8.198373822492686,1.1102230246251563e-16,True
30,0.25,5.0,0.9666666666666668,9.065195959149356,0.0,True
35,0.25,5.0,0.9714285714285714,9.856590736780186,0.0,True
40,0.25,5.0,0.975,10.589302778433211,0.0,True
45,0.25,5.0,0.9777777777777776,11.274684852292705,0.0,True
50,0.25,5.0,0.98,11.9208500815448,0.0,True
55,0.25,5.0,0.9818181818181818,12.53383300100052,0.0,True
60,0.25,5.0,0.9833333333333332,13.118265467998766,0.0,True
65,0.25,5.0,0.9692307692307692,13.391348144537396,0.0,True
70,0.25,5.0,0.9714285714285714,13.939324298715556,0.0,True
75,0.25,5.0,0.9733333333333334,14.466666666666669,0.0,True
80,0.25,5.0,0.9625,14.717336715588184,0.0,True
85,0.25,5.0,0.9647058823529412,15.217250273369132,0.0,True
90,0.25,5.0,0.9555555555555556,15.457947734034688,0.0,True
95,0.25,5.0,0.9473684210526316,15.697245260615944,0.0,True
100,0.25,5.0,0.95,16.16580753730952,0.0,True
105,0.25,5.0,0.9523809523809524,16.621367009660826,0.0,True
110,0.25,5.0,0.9363636363636364,16.624552853408044,0.0,True
115,0.25,5.0,0.9391304347826088,17.066706295243847,0.0,True
120,0.25,5.0,0.9416666666666668,17.49793638626503,0.0,True
125,0.25,5.0,0.944,17.91900294845298,0.0,True
130,0.25,5.0,0.946153846153846,18.33058254421437,0.0,True
135,0.25,5.0,0.9481481481481482,18.73328061149824,0.0,True
140,0.25,5.0,0.9428571428571428,18.932461415201544,0.0,True
145,0.25,5.0,0.9448275862068966,19.32237104986098,0.0,True
150,0.25,5.0,0.9466666666666668,19.704708969065123,0.0,True
155,0.25,5.0,0.9483870967741936,20.079894186415288,0.0,True
160,0.25,5.0,0.95,20.4483088135262,0.0,True
165,0.25,5.0,0.9515151515151516,20.810302421365407,0.0,True
